,Quality Class,Corners,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,4000,4200,4400,4600,5000
20,AvgStd-MinStd,SINGLE FAMILY - 6 CORNERS,125.16,119.86,115.48,112.01,108.86,106.26,104.31,102.26,100.64,99.13,97.84,96.5,94.53,92.96,91.42,90.19,89.26,88.3,87.53,86.79,86.17,85.16,84.39,83.71,83.15,82.29
21,Min Std.,SINGLE FAMILY - 6 CORNERS,113.85,109.08,104.99,101.8,99.02,96.7,94.8,92.96,91.42,90.08,88.87,87.75,85.9,84.52,83.24,82.08,81.09,80.32,79.52,78.88,78.32,77.45,76.75,76.15,75.62,74.87
22,Luxury,SINGLE FAMILY - 8 CORNERS,632.38,606.28,583.84,565.44,550.45,538.05,526.97,517.05,508.17,501.38,494.86,489.16,478.99,470.92,469.93,457.47,452.72,448.48,444.72,440.28,437.77,432.31,428.41,424.95,422.0,417.78
23,Luxury-SemiLuxury,SINGLE FAMILY - 8 CORNERS,549.84,527.31,507.65,491.75,478.61,467.89,458.16,449.66,441.91,435.96,430.31,425.34,416.56,409.51,400.61,397.77,393.64,389.99,386.75,382.82,380.71,376.02,372.61,369.63,367.03,363.36
24,SemiLuxury,SINGLE FAMILY - 8 CORNERS,382.9,367.29,354.28,343.4,334.5,326.97,320.2,314.21,308.84,304.67,300.78,297.22,291.1,286.15,280.08,277.93,275.1,272.7,270.29,267.49,265.95,262.76,260.43,258.33,256.57,253.94
25,SemiLuxury-BestStd,SINGLE FAMILY - 8 CORNERS,281.08,269.59,260.01,252.04,245.57,240.02,235.02,230.65,226.7,223.68,220.7,218.22,213.7,210.05,205.51,204.08,201.97,200.06,198.42,196.39,195.3,192.91,191.18,189.65,188.34,186.47
26,Best Std.,SINGLE FAMILY - 8 CORNERS,245.28,235.27,226.95,219.99,214.25,209.46,205.12,201.23,197.84,195.2,192.61,190.49,186.49,183.26,179.3,178.08,176.21,174.57,173.12,171.4,170.44,169.76,168.27,166.97,165.81,164.12
27,Best Std-GoodStd,SINGLE FAMILY - 8 CORNERS,209.67,201.12,193.92,187.98,183.16,179.11,175.3,172.1,169.08,166.9,164.69,162.84,159.43,156.55,153.3,152.29,150.63,149.27,148.05,146.59,145.68,143.93,142.63,141.51,140.52,139.09
28,Good Std.,SINGLE FAMILY - 8 CORNERS,180.67,173.24,167.12,162.07,157.72,154.3,151.09,148.32,145.68,143.85,141.87,140.26,137.33,135.0,132.09,131.2,129.84,128.63,127.66,126.32,125.51,124.02,122.86,121.91,121.01,119.84
29,Good Std-AvgStd,SINGLE FAMILY - 8 CORNERS,162.75,156.13,150.51,146,142.05,138.92,136.04,133.65,131.25,129.51,127.8,126.32,123.67,121.64,119.01,118.07,116.9,115.94,114.9,113.63,113.09,111.71,110.07,109.16,108.4,107.31
30,Avg Std.,SINGLE FAMILY - 8 CORNERS,146.59,140.59,135.57,131.49,127.96,125.17,122.51,120.33,118.09,116.67,115.05,113.87,111.39,109.52,107.1,106.35,105.33,104.3,103.46,102.45,101.9,100.59,99.71,98.9,98.19,97.23
31,AvgStd-MinStd,SINGLE FAMILY - 8 CORNERS,127.21,122.02,117.65,114.06,111.07,108.67,106.26,104.42,102.58,101.22,99.89,98.71,96.7,95.1,92.96,92.33,91.37,90.58,89.79,88.85,88.35,87.34,86.57,85.86,85.25,84.42
32,Min Std.,SINGLE FAMILY - 8 CORNERS,115.62,110.91,106.94,103.69,100.93,98.71,96.7,94.97,93.23,92.01,90.84,87.56,85.96,84.53,82.75,82.18,81.42,80.67,79.99,79.26,78.73,77.87,77.19,76.58,77.34,75.28
33,Luxury,SINGLE FAMILY - 10 CORNERS,645.58,618.59,596.23,578.64,561.98,548.96,538.21,529.1,520.24,512.91,506.47,500.59,490.1,482.19,480.07,468.78,463.13,459.1,455.32,451.6,448.66,442.9,438.92,435.39,432.34,427.98
34,Luxury-SemiLuxury,SINGLE FAMILY - 10 CORNERS,561.41,538.02,518.5,503.19,488.68,477.4,467.98,460.11,452.37,446.56,440.49,435.33,426.2,419.34,412.98,407.68,402.71,399.34,395.92,392.77,390.11,385.24,380.67,377.67,375.06,371.36
35,SemiLuxury,SINGLE FAMILY - 10 CORNERS,388.96,373.55,360.99,349.94,341.53,333.64,327.1,321.56,316.17,311.71,307.81,304.18,297.82,293.02,288.64,284.88,281.52,279.05,276.7,274.46,272.74,269.19,266.79,264.6,262.76,260.12
36,SemiLuxury-BestStd,SINGLE FAMILY - 10 CORNERS,285.55,274.25,264.98,256.95,250.68,244.87,240.05,235.98,232.09,228.72,225.94,223.27,218.64,215.09,211.82,209.1,206.61,204.77,203.15,201.43,200.14,197.64,189.88,188.39,187.05,185.2
37,Best Std.,SINGLE FAMILY - 10 CORNERS,249.17,239.27,231.23,224.16,218.73,213.76,209.5,205.95,202.56,199.67,197.18,194.89,190.77,187.71,184.93,182.51,180.26,178.7,177.18,175.8,174.66,172.48,170.92,169.55,168.37,166.68
38,Best Std-GoodStd,SINGLE FAMILY - 10 CORNERS,213.07,204.44,197.73,191.66,187.06,182.68,179.15,176.06,173.1,170.7,168.55,166.64,163.16,160.41,158.08,156.03,154.18,152.81,151.48,150.35,149.32,147.34,146.02,144.87,143.83,142.4
39,Good Std.,SINGLE FAMILY - 10 CORNERS,183.6,176.27,170.46,165.16,161.06,157.42,154.3,151.78,149.15,147.12,145.25,143.51,140.55,138.27,136.22,134.56,132.74,131.6,130.51,129.51,128.83,127.02,125.88,124.44,123.17,121.94
40,Good Std-AvgStd,SINGLE FAMILY - 10 CORNERS,165.37,158.75,153.49,148.78,145.16,141.84,139.02,136.69,134.41,132.55,130.78,129.25,126.64,124.61,122.66,121.1,119.61,118.57,117.59,116.67,115.97,114.35,113.34,112.43,111.66,110.52
41,Avg Std.,SINGLE FAMILY - 10 CORNERS,148.94,142.87,138.27,134,130.72,127.79,125.24,123.09,121.06,119.26,117.95,116.46,114.06,112.06,110.47,109.08,107.74,106.73,105.95,105.06,104.47,102.98,102.03,101.22,100.5,99.52
42,AvgStd-MinStd,SINGLE FAMILY - 10 CORNERS,129.18,124.04,119.9,116.29,113.43,110.84,108.72,106.82,105,103.51,102.26,100.95,99.02,97.33,95.88,94.59,93.44,92.58,91.92,91.17,90.59,89.41,88.64,87.88,87.28,86.43
43,Min Std.,SINGLE FAMILY - 10 CORNERS,117.51,112.75,109.1,105.74,103.11,100.75,98.75,97.13,95.42,94.06,92.96,91.83,89.95,88.51,87.12,86.03,84.97,84.24,83.56,82.9,82.35,81.29,80.55,79.9,79.33,78.58
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
